mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
59412.473979,4.543,3.646,6.749,3.78,19.413,0.144,o
59412.476284,4.543,3.646,6.748,3.78,19.744,0.194,o
59413.48995,4.541,3.637,6.55,3.79,20.339,0.265,c
59413.493159,4.541,3.637,6.549,3.79,20.417,0.284,c
59414.428511,4.54,3.629,6.364,3.79,19.427,0.203,o
59414.439583,4.54,3.629,6.362,3.79,19.907,0.307,o
59414.449672,4.54,3.629,6.36,3.79,19.489,0.199,o
59414.455193,4.54,3.629,6.358,3.79,19.467,0.191,o
59424.524688,4.53,3.559,4.253,3.87,18.986,0.195,o
59425.426181,4.529,3.554,4.058,3.87,19.926,0.301,o
59425.428925,4.529,3.554,4.057,3.87,18.942,0.124,o
59425.432127,4.529,3.554,4.056,3.87,19.269,0.166,o
59425.438074,4.529,3.554,4.055,3.87,19.757,0.257,o
59426.461585,4.528,3.549,3.833,3.88,19.719,0.229,o
59426.469762,4.528,3.549,3.831,3.88,19.237,0.148,o
59426.508225,4.528,3.548,3.823,3.88,19.323,0.164,o
59428.47118,4.526,3.539,3.396,3.89,19.201,0.121,o
59428.476457,4.526,3.539,3.395,3.89,19.41,0.147,o
59428.480145,4.526,3.539,3.394,3.89,19.88,0.222,o
59428.495303,4.526,3.539,3.391,3.89,19.508,0.163,o
59429.479444,4.525,3.534,3.178,3.89,19.311,0.145,o
59429.510029,4.525,3.534,3.171,3.89,19.153,0.13,o
59429.519185,4.525,3.534,3.169,3.89,19.566,0.189,o
59429.525226,4.525,3.534,3.168,3.89,19.436,0.17,o
59430.580898,4.524,3.53,2.941,3.9,19.52,0.178,o
59430.584587,4.524,3.53,2.94,3.9,19.511,0.179,o
59430.600094,4.524,3.53,2.936,3.9,19.455,0.204,o
59430.605643,4.524,3.53,2.935,3.9,19.164,0.232,o
59432.387078,4.522,3.523,2.558,3.91,19.765,0.142,c
59432.422755,4.522,3.523,2.55,3.91,19.709,0.135,c
59432.425598,4.522,3.523,2.55,3.91,19.468,0.109,c
59432.428368,4.522,3.523,2.549,3.91,19.754,0.14,c
59434.472086,4.52,3.517,2.133,3.91,19.7,0.212,o
59434.513108,4.52,3.516,2.125,3.91,19.146,0.139,o
59436.381583,4.518,3.512,1.775,3.92,19.312,0.099,c
59436.383427,4.518,3.512,1.775,3.92,19.585,0.125,c
59436.40497,4.518,3.512,1.771,3.92,19.704,0.137,c
59436.407733,4.518,3.512,1.77,3.92,19.523,0.117,c
59438.377017,4.516,3.508,1.463,3.92,18.927,0.1,o
59438.378847,4.516,3.508,1.463,3.92,19.141,0.12,o
59438.382963,4.516,3.508,1.462,3.92,19.007,0.106,o
59438.412605,4.516,3.508,1.459,3.92,19.222,0.128,o
59440.380268,4.514,3.505,1.266,3.93,19.733,0.141,c
59440.382109,4.514,3.505,1.266,3.93,19.967,0.179,c
59440.41738,4.514,3.505,1.264,3.93,20.046,0.178,c
59440.429614,4.514,3.505,1.263,3.93,19.973,0.167,c
59441.378218,4.513,3.504,1.228,3.93,18.887,0.103,o
59441.381419,4.513,3.504,1.228,3.93,19.179,0.131,o
59441.408599,4.513,3.504,1.228,3.93,19.251,0.134,o
59441.411438,4.513,3.504,1.228,3.93,18.977,0.105,o
59442.368648,4.512,3.503,1.237,3.93,19.157,0.142,o
