mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
59792.336122,2.352,1.54,18.421,8.94,16.045,0.022,o
59792.338983,2.352,1.54,18.422,8.94,16.062,0.022,o
59792.351497,2.352,1.54,18.424,8.94,16.507,0.026,c
59792.354667,2.352,1.54,18.425,8.94,16.494,0.026,c
59792.360091,2.352,1.54,18.426,8.94,16.516,0.026,c
59792.369166,2.352,1.54,18.428,8.94,16.86,0.038,c
59792.370521,2.352,1.54,18.428,8.94,16.478,0.026,c
59792.373975,2.352,1.54,18.429,8.94,16.087,0.021,o
59792.382985,2.352,1.54,18.431,8.94,16.068,0.022,o
59793.32815,2.346,1.539,18.625,8.95,16.168,0.022,c
59793.333354,2.346,1.539,18.626,8.95,16.199,0.022,c
59793.338586,2.346,1.539,18.628,8.95,16.191,0.022,c
59795.413313,2.333,1.536,19.064,8.96,15.668,0.019,o
59795.437999,2.333,1.536,19.07,8.96,15.683,0.019,o
59795.441748,2.333,1.536,19.07,8.96,15.667,0.02,o
59795.446939,2.333,1.536,19.071,8.96,15.694,0.02,o
59796.326899,2.328,1.535,19.26,8.97,15.727,0.02,o
59796.334431,2.328,1.535,19.262,8.97,15.692,0.019,o
59796.338116,2.328,1.535,19.263,8.97,15.71,0.02,o
59796.349939,2.328,1.535,19.265,8.97,15.703,0.019,o
59797.38163,2.321,1.533,19.488,8.98,15.152,0.017,o
59797.384794,2.321,1.533,19.489,8.98,15.151,0.017,o
59797.407688,2.321,1.533,19.494,8.98,15.138,0.018,o
59797.422346,2.321,1.533,19.497,8.98,15.13,0.017,o
59799.129097,2.311,1.532,19.872,8.98,14.79,0.02,o
59799.317569,2.31,1.532,19.913,8.99,14.796,0.017,o
59799.322257,2.31,1.532,19.914,8.99,14.783,0.017,o
59799.328861,2.31,1.532,19.916,8.99,14.794,0.017,o
59799.339528,2.31,1.532,19.918,8.99,14.799,0.017,o
59800.416534,2.303,1.531,20.157,8.99,14.844,0.019,o
59800.417461,2.303,1.531,20.157,8.99,14.878,0.017,o
59800.419742,2.303,1.531,20.158,8.99,14.823,0.018,o
59800.420655,2.303,1.531,20.158,8.99,14.872,0.017,o
59800.443402,2.303,1.531,20.163,8.99,14.858,0.022,o
59800.455634,2.303,1.531,20.165,8.99,14.889,0.028,o
59800.834308,2.301,1.531,20.25,8.99,14.895,0.024,o
59800.838367,2.301,1.531,20.251,8.99,14.913,0.025,o
59800.844193,2.301,1.531,20.252,8.99,14.917,0.025,o
59800.854491,2.3,1.531,20.254,8.99,14.818,0.024,o
59801.330315,2.298,1.531,20.361,8.99,14.734,0.037,o
59801.333119,2.298,1.531,20.361,8.99,14.859,0.033,o
59801.338838,2.298,1.531,20.362,8.99,14.809,0.036,o
59801.372819,2.297,1.531,20.37,8.99,14.869,0.034,o
59802.373751,2.291,1.531,20.594,8.99,14.911,0.02,o
59802.377852,2.291,1.531,20.595,8.99,15.002,0.02,o
59802.39426,2.291,1.531,20.599,8.99,14.78,0.038,o
59803.10675,2.287,1.53,20.759,8.99,15.372,0.121,o
59803.377347,2.285,1.53,20.82,8.99,15.006,0.029,o
