mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
59414.578247,2.971,2.656,19.811,5.18,20.212,0.334,c
59414.597527,2.971,2.656,19.81,5.18,19.757,0.225,c
59417.596336,2.961,2.607,19.743,5.28,20.099,0.403,o
59428.60124,2.925,2.433,19.159,5.66,19.823,0.313,o
59429.554114,2.922,2.418,19.081,5.69,19.375,0.216,o
59432.535671,2.912,2.373,18.809,5.8,20.127,0.289,c
59433.593253,2.909,2.357,18.702,5.84,20.024,0.244,c
59433.597296,2.909,2.357,18.701,5.84,20.098,0.264,c
59434.53384,2.906,2.342,18.601,5.88,19.841,0.362,o
59435.574016,2.903,2.327,18.484,5.91,19.497,0.251,o
59435.595068,2.903,2.327,18.482,5.92,19.9,0.362,o
59436.522418,2.9,2.313,18.372,5.95,19.888,0.23,c
59438.460669,2.894,2.284,18.129,6.02,19.502,0.253,o
59438.496309,2.893,2.284,18.124,6.03,19.611,0.265,o
59440.530709,2.887,2.255,17.846,6.1,19.672,0.194,c
59440.539009,2.887,2.254,17.845,6.11,19.966,0.257,c
59441.58361,2.884,2.24,17.693,6.15,20.075,0.26,c
59442.525722,2.881,2.226,17.55,6.18,19.697,0.28,o
59454.476887,2.845,2.068,15.295,6.66,18.726,0.228,o
59454.483333,2.845,2.068,15.293,6.66,19.117,0.297,o
59454.492048,2.845,2.068,15.291,6.66,18.77,0.234,o
59455.486662,2.842,2.055,15.065,6.7,18.915,0.203,o
59455.49354,2.842,2.055,15.063,6.7,19.528,0.354,o
59455.518926,2.842,2.055,15.057,6.7,18.963,0.219,o
59456.439015,2.839,2.044,14.842,6.74,19.224,0.244,o
59456.451943,2.839,2.044,14.839,6.74,19.364,0.276,o
59457.595341,2.836,2.03,14.565,6.78,18.967,0.165,o
59457.600024,2.836,2.03,14.564,6.78,19.275,0.221,o
59457.605328,2.836,2.03,14.562,6.78,19.445,0.26,o
59460.497832,2.828,1.997,13.833,6.9,19.49,0.266,o
59460.499687,2.828,1.997,13.832,6.9,19.597,0.291,o
59460.502451,2.828,1.997,13.831,6.9,19.538,0.271,o
59460.507979,2.827,1.996,13.83,6.9,19.246,0.205,o
59462.466901,2.822,1.975,13.307,6.97,19.198,0.158,c
59462.489997,2.822,1.974,13.301,6.97,19.856,0.289,c
59462.492304,2.822,1.974,13.3,6.97,19.954,0.316,c
59462.496443,2.822,1.974,13.299,6.97,19.67,0.243,c
59462.507674,2.822,1.974,13.296,6.97,19.917,0.302,c
59464.451365,2.816,1.953,12.754,7.05,19.014,0.182,o
59464.454596,2.816,1.953,12.753,7.05,19.572,0.304,o
59464.460137,2.816,1.953,12.752,7.05,19.41,0.259,o
59464.470299,2.816,1.953,12.749,7.05,19.259,0.223,o
59466.393253,2.811,1.933,12.191,7.12,19.425,0.214,c
59466.418292,2.811,1.933,12.184,7.12,19.631,0.266,c
59466.421086,2.811,1.933,12.183,7.12,19.327,0.207,c
59466.433618,2.811,1.933,12.179,7.12,19.125,0.154,c
59470.441504,2.8,1.894,10.951,7.27,19.565,0.235,c
59470.44427,2.8,1.894,10.95,7.27,19.581,0.239,c
59470.458428,2.8,1.894,10.945,7.27,19.637,0.25,c
59484.498315,2.762,1.788,6.109,7.7,18.833,0.214,o
59484.529895,2.762,1.788,6.098,7.7,18.684,0.185,o
59484.532691,2.762,1.788,6.097,7.7,18.88,0.222,o
59484.537855,2.762,1.788,6.095,7.7,18.623,0.175,o
59486.417211,2.757,1.778,5.424,7.74,19.109,0.248,o
59486.418125,2.757,1.778,5.423,7.74,18.31,0.118,o
59486.419041,2.757,1.778,5.423,7.74,18.515,0.145,o
59486.419956,2.757,1.778,5.423,7.74,19.181,0.261,o
59486.425456,2.757,1.778,5.421,7.74,18.54,0.146,o
59486.429575,2.757,1.778,5.419,7.74,18.361,0.127,o
59486.439716,2.757,1.778,5.416,7.74,18.254,0.111,o
59488.526433,2.752,1.767,4.686,7.79,18.586,0.144,o
59488.531652,2.752,1.767,4.684,7.79,18.972,0.21,o
59488.536854,2.752,1.767,4.683,7.79,18.063,0.094,o
59488.572281,2.752,1.767,4.671,7.79,18.561,0.163,o
