mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
59209.564784,5.021,4.606,10.643,2.99,19.71,0.151,o
59209.567086,5.021,4.606,10.643,2.99,19.819,0.164,o
59209.56985,5.021,4.606,10.643,2.99,19.859,0.168,o
59209.596239,5.021,4.606,10.641,2.99,19.622,0.132,o
59219.619588,5.009,4.45,9.834,3.09,19.927,0.317,o
59220.453075,5.008,4.437,9.752,3.1,19.551,0.187,o
59220.465083,5.008,4.437,9.751,3.1,19.525,0.184,o
59220.493586,5.008,4.437,9.748,3.1,19.587,0.183,o
59220.50473,5.008,4.436,9.747,3.1,19.6,0.178,o
59222.599224,5.005,4.406,9.528,3.12,19.373,0.117,o
59222.602442,5.005,4.406,9.528,3.12,19.455,0.125,o
59222.622385,5.005,4.405,9.526,3.12,19.611,0.147,o
59222.627791,5.005,4.405,9.525,3.12,19.302,0.114,o
59224.576489,5.003,4.377,9.308,3.15,19.779,0.117,c
59224.611457,5.003,4.377,9.304,3.15,19.975,0.14,c
59224.642607,5.003,4.376,9.3,3.15,20.258,0.257,c
59226.440427,5.0,4.351,9.088,3.16,19.901,0.136,c
59226.449677,5.0,4.351,9.087,3.16,20.005,0.146,c
59226.464387,5.0,4.351,9.085,3.16,20.448,0.211,c
59226.48939,5.0,4.35,9.082,3.16,20.016,0.141,c
59230.447459,4.996,4.297,8.575,3.2,19.757,0.125,c
59230.454786,4.996,4.297,8.574,3.2,19.741,0.122,c
59230.457078,4.996,4.297,8.574,3.2,19.641,0.112,c
59230.469,4.996,4.296,8.572,3.2,19.713,0.117,c
59232.480405,4.993,4.27,8.295,3.22,19.947,0.143,c
59232.48456,4.993,4.27,8.294,3.22,19.715,0.118,c
59232.490551,4.993,4.27,8.293,3.22,19.886,0.135,c
59232.502076,4.993,4.27,8.292,3.22,20.09,0.159,c
59234.507804,4.991,4.245,8.002,3.24,19.721,0.13,c
59248.547346,4.974,4.094,5.634,3.36,18.559,0.084,o
59248.551033,4.974,4.094,5.634,3.36,18.77,0.099,o
59248.557482,4.974,4.094,5.632,3.36,18.746,0.099,o
59248.572225,4.974,4.094,5.63,3.36,18.984,0.121,o
59251.530158,4.971,4.068,5.064,3.38,18.86,0.079,o
59251.549847,4.971,4.068,5.061,3.38,18.935,0.086,o
59251.569189,4.971,4.068,5.057,3.38,18.686,0.07,o
59252.510224,4.97,4.06,4.873,3.39,19.605,0.105,c
59252.51253,4.97,4.06,4.872,3.39,19.543,0.097,c
59252.513461,4.97,4.06,4.872,3.39,19.705,0.114,c
59252.516223,4.97,4.06,4.872,3.39,19.278,0.078,c
59252.519014,4.97,4.06,4.871,3.39,19.441,0.092,c
59252.524087,4.97,4.06,4.87,3.39,19.257,0.077,c
59252.525494,4.97,4.06,4.87,3.39,19.621,0.107,c
59252.527802,4.97,4.06,4.869,3.39,19.499,0.095,c
59253.436795,4.969,4.053,4.69,3.4,19.715,0.114,c
59253.439101,4.969,4.053,4.69,3.4,19.587,0.102,c
59253.441863,4.969,4.053,4.689,3.4,19.806,0.123,c
59253.467946,4.969,4.053,4.684,3.4,19.504,0.095,c
59255.436344,4.967,4.038,4.29,3.41,19.379,0.089,c
59255.438175,4.967,4.038,4.29,3.41,19.226,0.079,c
59255.44092,4.967,4.038,4.289,3.41,19.269,0.081,c
59255.446036,4.967,4.038,4.288,3.41,19.341,0.086,c
59257.478772,4.964,4.024,3.875,3.42,19.237,0.076,c
59257.482139,4.964,4.024,3.874,3.42,19.149,0.071,c
59257.503571,4.964,4.024,3.87,3.42,19.284,0.079,c
59257.514058,4.964,4.024,3.867,3.42,19.263,0.078,c
59258.339665,4.963,4.019,3.698,3.43,19.216,0.089,c
59258.355783,4.963,4.018,3.694,3.43,19.3,0.093,c
59258.381578,4.963,4.018,3.689,3.43,19.442,0.102,c
59258.393827,4.963,4.018,3.687,3.43,19.54,0.11,c
59261.413471,4.96,4.001,3.06,3.44,19.391,0.091,c
59261.41532,4.96,4.001,3.06,3.44,19.591,0.109,c
59261.431378,4.96,4.001,3.057,3.44,19.106,0.072,c
59261.43414,4.96,4.001,3.056,3.44,19.261,0.082,c
59262.483288,4.959,3.995,2.837,3.44,19.35,0.1,c
59262.486493,4.959,3.995,2.836,3.44,19.365,0.103,c
59262.49291,4.959,3.995,2.835,3.44,19.38,0.12,c
59262.52789,4.958,3.995,2.828,3.44,19.449,0.118,c
59267.416016,4.953,3.974,1.819,3.46,18.702,0.089,o
59267.440386,4.953,3.974,1.814,3.46,18.779,0.093,o
59267.445768,4.953,3.974,1.813,3.46,18.664,0.085,o
59267.459789,4.953,3.974,1.81,3.46,18.639,0.082,o
59268.312968,4.952,3.971,1.641,3.47,18.591,0.096,o
59268.315731,4.952,3.971,1.64,3.47,18.391,0.08,o
59268.346685,4.952,3.971,1.634,3.47,18.529,0.085,o
59268.363617,4.952,3.97,1.631,3.47,18.613,0.09,o
59269.310134,4.951,3.967,1.449,3.47,18.645,0.126,o
59269.321198,4.951,3.967,1.447,3.47,18.515,0.11,o
59269.323041,4.951,3.967,1.446,3.47,18.529,0.11,o
59269.323502,4.951,3.967,1.446,3.47,18.484,0.106,o
59269.329542,4.951,3.967,1.445,3.47,18.648,0.121,o
59269.331857,4.951,3.967,1.445,3.47,18.391,0.096,o
59276.445946,4.943,3.954,0.896,3.48,18.471,0.076,o
59276.448712,4.943,3.954,0.896,3.48,18.438,0.074,o
59276.455156,4.943,3.954,0.896,3.48,18.46,0.076,o
59276.465341,4.943,3.954,0.897,3.48,18.561,0.084,o
59277.422168,4.942,3.953,1.009,3.48,18.477,0.07,o
59277.425133,4.942,3.953,1.01,3.48,18.414,0.067,o
59277.46009,4.942,3.953,1.015,3.48,18.474,0.07,o
59277.472587,4.942,3.953,1.016,3.48,18.313,0.062,o
59278.469677,4.941,3.953,1.168,3.48,18.557,0.199,o
59278.478424,4.941,3.953,1.17,3.48,18.693,0.327,o
59288.345544,4.93,3.966,3.167,3.47,18.691,0.067,o
59288.347388,4.93,3.966,3.167,3.47,18.555,0.06,o
59288.351089,4.93,3.966,3.168,3.47,18.501,0.057,o
59288.372306,4.93,3.966,3.173,3.47,18.58,0.06,o
